,learning_rate,kernel_size,batch_size,optimizer,n_hidden_layers,neurons,fitness
0,0.0002621885885298688,3,32,adam,2,"[64, 256]",0.9825000166893005
1,0.004003313776493292,3,128,rmsprop,3,"[16, 256, 128]",0.9739999771118164
2,0.0015377852932824299,7,64,sgd,2,"[32, 64]",0.9147857427597046
3,0.0007594520975660203,3,64,sgd,2,"[32, 32]",0.864642858505249
4,0.005858643226824369,3,32,sgd,1,[32],0.9522143006324768
5,0.0090455438228971,7,32,rmsprop,2,"[64, 64]",0.975428581237793
6,0.0024427791540672385,3,64,rmsprop,1,[128],0.984000027179718
7,0.03830969805288695,3,128,sgd,3,"[16, 128, 256]",0.9567142724990845
8,0.00047216306472799727,5,32,sgd,2,"[16, 64]",0.8769285678863525
9,0.0002927106333661323,5,32,sgd,3,"[32, 64, 32]",0.8389999866485596
10,0.0007594520975660203,5,64,sgd,3,"[32, 128, 256]",0.8261428475379944
11,0.00017391394065237868,3,32,rmsprop,1,[64],0.9782142639160156
12,0.00040496098832497904,7,64,sgd,2,"[16, 64]",0.5705714225769043
13,0.0002927106333661323,5,32,sgd,1,[32],0.8841428756713867
14,0.00565630452949312,7,128,adam,1,[64],0.9820713996887207
15,0.0003720717743188168,5,32,sgd,2,"[32, 128]",0.8847143054008484
16,0.00028742054308103396,3,128,rmsprop,1,[64],0.9785714149475098
17,0.0003720717743188168,5,32,adam,1,[256],0.9834285974502563
18,0.03680892745189663,5,32,rmsprop,3,"[32, 256, 32]",0.9114285707473755
19,0.00047216306472799727,3,64,adam,2,"[64, 32]",0.9824285507202148
20,0.0005357864512974483,3,32,adam,2,"[32, 64]",0.9818571209907532
21,0.010213578338710578,5,64,sgd,1,[16],0.9617142677307129
22,0.0003949234770631499,7,128,rmsprop,2,"[64, 16]",0.983214259147644
23,0.010986269055806375,3,128,rmsprop,2,"[32, 128]",0.9772857427597046
24,0.002353280616957451,3,64,adam,3,"[64, 32, 128]",0.9799285531044006
25,0.004003313776493292,3,64,adam,2,"[128, 16]",0.9804999828338623
26,0.005464379739917534,7,32,adam,2,"[32, 16]",0.9842857122421265
27,0.008284768840933803,3,128,adam,1,[16],0.9726428389549255
28,0.0002621885885298688,5,128,adam,1,[16],0.9662142992019653
29,0.0012189596536477385,3,128,rmsprop,3,"[16, 128, 128]",0.979357123374939
