,learning_rate,kernel_size,batch_size,optimizer,n_hidden_layers,neurons,fitness
0,0.002409332091752527,7,32,adam,3,"[32, 64, 16]",0.9865714311599731
1,0.003991997063153193,5,32,sgd,2,"[128, 256]",0.9631428718566895
2,0.00015222191107660036,3,128,sgd,2,"[128, 256]",0.3552857041358948
3,0.03981570018479266,5,64,rmsprop,1,[128],0.9445000290870667
4,0.00048151056208503275,7,32,adam,3,"[256, 128, 256]",0.9885714054107666
5,0.06766560456884606,7,32,adam,3,"[32, 64, 128]",0.11428571492433548
6,0.09445111340177609,5,128,sgd,2,"[16, 32]",0.9787856936454773
7,0.0004401743283986148,5,128,sgd,2,"[256, 16]",0.718500018119812
8,0.002293714066725632,5,128,rmsprop,1,[16],0.9837142825126648
9,0.05496834612948195,3,64,rmsprop,2,"[64, 128]",0.10735714435577393
10,0.03981570018479266,5,64,rmsprop,1,[32],0.9645000100135803
11,0.00025627088587846245,3,128,sgd,2,"[128, 256]",0.392214298248291
12,0.00886919859357738,3,64,rmsprop,3,"[16, 16, 128]",0.9712857007980347
13,0.05496834612948195,7,32,adam,3,"[64, 128, 256]",0.11428571492433548
14,0.00025627088587846245,3,64,rmsprop,1,[128],0.9813571572303772
15,0.0006498199753414688,5,128,sgd,2,"[16, 128]",0.517214298248291
16,0.010386572738748453,7,128,sgd,2,"[128, 32]",0.9618571400642395
17,0.0006498199753414688,5,64,rmsprop,1,[128],0.9852142930030823
18,0.005780497169379833,7,32,adam,3,"[16, 32, 16]",0.9815714359283447
19,0.0026820286712649598,7,32,adam,3,"[256, 16, 32]",0.9845714569091797
20,0.06190256541715302,3,64,rmsprop,1,[16],0.10735714435577393
21,0.0008694307101599571,5,128,sgd,2,"[32, 128]",0.7282857298851013
22,0.0014171909045420312,3,64,rmsprop,1,[16],0.9808571338653564
23,0.00010014315291987145,5,128,sgd,2,"[256, 16]",0.2833571434020996
24,0.0008694307101599571,7,64,rmsprop,1,[256],0.9873571395874023
25,0.003623405159842018,5,128,sgd,2,"[16, 16]",0.9037857055664062
26,0.00021528480953884367,7,32,adam,3,"[16, 32, 16]",0.9717857241630554
27,0.0034479644113218685,5,128,sgd,2,"[128, 32]",0.921999990940094
28,0.002409332091752527,7,32,adam,1,[64],0.9852856993675232
29,0.024319400711275436,3,64,rmsprop,1,[128],0.9718571305274963
30,0.009501167805541161,3,64,rmsprop,1,[16],0.9677143096923828
31,0.05496834612948195,3,64,rmsprop,1,[64],0.10735714435577393
32,0.00010014315291987145,3,64,rmsprop,3,"[32, 32, 128]",0.9657857418060303
33,0.00397298189210816,7,32,rmsprop,1,[32],0.9811428785324097
34,0.007469506980462902,5,128,sgd,2,"[16, 16]",0.9287857413291931
35,0.006568884988599324,3,64,rmsprop,1,[32],0.9791428446769714
36,0.024319400711275436,3,64,rmsprop,2,"[32, 64]",0.9596428275108337
37,0.0009997851827554629,5,128,sgd,1,[256],0.8884285688400269
38,0.00010014315291987145,3,128,sgd,2,"[256, 16]",0.2549999952316284
39,0.09445111340177609,5,64,rmsprop,1,[128],0.10735714435577393
40,0.05496834612948195,5,64,rmsprop,1,[128],0.9467142820358276
41,0.08290064287873332,5,64,rmsprop,1,[16],0.10735714435577393
42,0.0005895832603472524,3,64,rmsprop,1,[16],0.9789999723434448
43,0.00010014315291987145,5,128,rmsprop,1,[64],0.9666428565979004
44,0.012314457119516165,7,64,rmsprop,1,[16],0.9764285683631897
45,0.0008694307101599571,3,128,sgd,2,"[256, 16]",0.7997857332229614
46,0.0020378456571106453,3,64,rmsprop,2,"[64, 64]",0.9832857251167297
47,0.06190256541715302,5,128,sgd,1,[32],0.9755714535713196
48,0.00886919859357738,7,128,sgd,1,[64],0.9475714564323425
49,0.012314457119516165,5,32,adam,3,"[64, 128, 256]",0.9692857265472412
50,0.0008694307101599571,3,128,sgd,2,"[256, 32]",0.8556428551673889
51,0.0008694307101599571,7,64,rmsprop,1,[256],0.9900000095367432
52,0.012314457119516165,5,32,adam,3,"[64, 32, 16]",0.9777857065200806
53,0.00886919859357738,7,128,sgd,1,[64],0.9522143006324768
54,0.00021528480953884367,7,32,adam,1,[64],0.9795714020729065
55,0.002409332091752527,7,32,adam,3,"[16, 32, 16]",0.9819999933242798
56,0.00397298189210816,5,32,adam,2,"[128, 256]",0.9777857065200806
57,0.0026820286712649598,7,32,adam,1,[32],0.9794285893440247
58,0.00397298189210816,7,32,rmsprop,3,"[16, 32, 16]",0.9789285659790039
59,0.00021528480953884367,7,32,adam,1,[32],0.9828571677207947
60,0.003991997063153193,5,32,adam,2,"[64, 128]",0.9819285869598389
61,0.00010014315291987145,5,128,rmsprop,1,[128],0.9752857089042664
62,0.06190256541715302,3,128,adam,2,"[16, 256]",0.11428571492433548
63,0.003991997063153193,5,32,sgd,1,[32],0.961642861366272
64,0.05496834612948195,5,32,adam,3,"[256, 16, 32]",0.11428571492433548
65,0.0026820286712649598,7,64,rmsprop,1,[128],0.984928548336029
66,0.037719617893055876,3,32,adam,3,"[16, 32, 16]",0.8369285464286804
67,0.00021528480953884367,7,64,rmsprop,1,[128],0.9824285507202148
68,0.002409332091752527,7,32,adam,3,"[16, 32, 16]",0.9839285612106323
69,0.00021528480953884367,7,32,adam,1,[64],0.9839285612106323
70,0.00010014315291987145,5,128,rmsprop,1,[16],0.9472143054008484
71,0.007469506980462902,5,128,sgd,2,"[64, 64]",0.9424999952316284
72,0.0014171909045420312,3,64,sgd,1,[16],0.8920714259147644
73,0.007469506980462902,5,128,rmsprop,1,[16],0.9798571467399597
74,0.00886919859357738,3,128,sgd,1,[128],0.9450713992118835
75,0.03981570018479266,5,64,rmsprop,1,[64],0.9626428484916687
76,0.0026820286712649598,7,32,rmsprop,1,[16],0.9802142977714539
77,0.012314457119516165,7,64,adam,3,"[256, 16, 32]",0.9798571467399597
78,0.024319400711275436,3,128,sgd,1,[16],0.9482142925262451
79,0.06190256541715302,5,64,rmsprop,2,"[32, 64]",0.9291428327560425
80,0.003991997063153193,5,32,sgd,1,[16],0.954714298248291
81,0.012082639864916414,7,64,rmsprop,2,"[128, 32]",0.9732857346534729
82,0.05496834612948195,3,64,rmsprop,1,[16],0.10735714435577393
83,0.0005895832603472524,5,64,rmsprop,1,[16],0.9822142720222473
84,0.009501167805541161,3,32,sgd,1,[128],0.9687142968177795
85,0.00015222191107660036,3,64,rmsprop,1,[16],0.9590714573860168
86,0.0018663220223128526,5,128,sgd,2,"[32, 128]",0.8858571648597717
87,0.0008694307101599571,5,128,sgd,2,"[256, 256]",0.8847143054008484
88,0.0034479644113218685,5,128,rmsprop,2,"[32, 64]",0.9844285845756531
89,0.024319400711275436,3,64,sgd,1,[256],0.9729999899864197
90,0.009501167805541161,3,64,sgd,1,[128],0.9605000019073486
91,0.010386572738748453,7,128,sgd,2,"[64, 16]",0.9602857232093811
92,0.009501167805541161,3,64,rmsprop,1,[128],0.9789999723434448
93,0.03981570018479266,5,64,rmsprop,1,[16],0.9343571662902832
94,0.002409332091752527,7,128,adam,3,"[64, 256, 128]",0.9860714077949524
95,0.0008694307101599571,5,128,sgd,3,"[32, 64, 16]",0.4819285571575165
96,0.0009997851827554629,5,128,adam,1,[128],0.9837856888771057
97,0.0005895832603472524,3,64,rmsprop,1,[256],0.9850714206695557
98,0.002409332091752527,7,32,adam,1,[16],0.9810000061988831
99,0.012314457119516165,7,64,rmsprop,1,[64],0.9804999828338623
100,0.002409332091752527,7,32,adam,3,"[16, 64, 16]",0.984000027179718
101,0.002409332091752527,7,32,adam,1,[16],0.9815714359283447
102,0.0009997851827554629,5,128,adam,1,[32],0.9792143106460571
103,0.06190256541715302,5,64,rmsprop,2,"[128, 128]",0.10735714435577393
104,0.012314457119516165,5,32,rmsprop,1,[16],0.9716428518295288
105,0.007469506980462902,5,128,adam,3,"[64, 32, 16]",0.9847857356071472
106,0.00397298189210816,7,32,rmsprop,2,"[128, 32]",0.9841428399085999
107,0.004472831917032602,7,64,rmsprop,3,"[16, 16, 16]",0.9779285788536072
108,0.00397298189210816,3,32,sgd,1,[128],0.9564999938011169
109,0.00886919859357738,3,128,adam,3,"[16, 32, 16]",0.9714999794960022
110,0.00021528480953884367,7,32,adam,3,"[16, 32, 64]",0.9778571724891663
111,0.00397298189210816,7,32,rmsprop,1,[32],0.9828571677207947
112,0.00010014315291987145,5,128,rmsprop,1,[256],0.977571427822113
113,0.0018589706704654895,7,128,rmsprop,1,[128],0.9877856969833374
114,0.0018663220223128526,5,128,sgd,3,"[16, 32, 16]",0.8525000214576721
115,0.037719617893055876,3,32,adam,3,"[16, 64, 128]",0.11428571492433548
116,0.00015222191107660036,5,64,rmsprop,1,[16],0.9709285497665405
117,0.0005895832603472524,3,64,rmsprop,1,[16],0.9774285554885864
118,0.00886919859357738,7,128,sgd,3,"[32, 32, 16]",0.9486428499221802
119,0.037719617893055876,3,32,adam,1,[256],0.11428571492433548
120,0.024319400711275436,5,128,adam,1,[128],0.9697142839431763
121,0.0009997851827554629,3,128,sgd,1,[16],0.8453571200370789
122,0.00010014315291987145,5,128,rmsprop,1,[64],0.9678571224212646
123,0.03981570018479266,7,64,rmsprop,1,[16],0.9523571133613586
124,0.0008694307101599571,5,128,sgd,2,"[128, 128]",0.8712857365608215
125,0.009501167805541161,3,64,sgd,1,[256],0.9632142782211304
126,0.0009997851827554629,5,128,rmsprop,1,[64],0.9853571653366089
127,0.03981570018479266,5,64,adam,1,[64],0.11428571492433548
128,0.00021528480953884367,7,128,rmsprop,2,"[32, 64]",0.9757857322692871
129,0.0034479644113218685,5,32,adam,1,[32],0.981071412563324
130,0.002409332091752527,7,128,sgd,2,"[64, 64]",0.9164285659790039
131,0.007469506980462902,5,128,adam,3,"[128, 32, 16]",0.9815000295639038
132,0.012082639864916414,3,64,rmsprop,1,[16],0.9710714221000671
133,0.00015222191107660036,7,64,rmsprop,2,"[128, 32]",0.9807857275009155
134,0.00033115052945634937,5,64,sgd,1,[32],0.8123571276664734
135,0.00021528480953884367,7,32,adam,2,"[256, 256]",0.9844285845756531
136,0.012314457119516165,7,64,rmsprop,1,[128],0.9760714173316956
137,0.00397298189210816,7,32,rmsprop,3,"[16, 16, 128]",0.975428581237793
138,0.00021528480953884367,7,32,rmsprop,1,[16],0.9794285893440247
139,0.0005895832603472524,5,64,adam,1,[64],0.984000027179718
140,0.0008694307101599571,5,128,sgd,3,"[256, 16, 32]",0.7949285507202148
141,0.012314457119516165,7,64,adam,3,"[32, 64, 16]",0.9797857403755188
142,0.06190256541715302,5,64,adam,2,"[256, 16]",0.11428571492433548
143,0.028858780659452715,7,64,adam,3,"[256, 64, 16]",0.11428571492433548
144,0.012314457119516165,5,32,sgd,1,[128],0.9789285659790039
145,0.009501167805541161,3,32,adam,3,"[64, 32, 16]",0.977642834186554
146,0.002409332091752527,7,32,adam,3,"[128, 16, 32]",0.9815714359283447
147,0.0005895832603472524,3,64,rmsprop,1,[128],0.9845714569091797
148,0.00397298189210816,7,64,rmsprop,1,[128],0.9857142567634583
149,0.0026820286712649598,7,32,rmsprop,2,"[256, 128]",0.9838571548461914
150,0.009501167805541161,3,64,sgd,1,[16],0.9407142996788025
151,0.03981570018479266,7,64,rmsprop,1,[256],0.9534285664558411
152,0.024319400711275436,5,128,adam,3,"[16, 32, 16]",0.9597142934799194
153,0.0018663220223128526,5,128,sgd,1,[128],0.9095714092254639
154,0.004472831917032602,7,128,sgd,3,"[256, 16, 32]",0.9420714378356934
155,0.0008694307101599571,5,64,rmsprop,3,"[16, 16, 16]",0.9804285764694214
156,0.00010014315291987145,5,128,adam,1,[32],0.9607856869697571
157,0.003157223022229346,5,32,sgd,1,[64],0.9502857327461243
158,0.03981570018479266,5,64,rmsprop,1,[32],0.9480714201927185
159,0.0034479644113218685,5,32,adam,1,[64],0.9822142720222473
160,0.00021528480953884367,5,128,adam,3,"[128, 32, 16]",0.9783571362495422
161,0.007469506980462902,7,32,adam,2,"[256, 16]",0.980571448802948
162,0.00010014315291987145,5,128,rmsprop,1,[32],0.9622142910957336
163,0.00021528480953884367,7,128,rmsprop,2,"[256, 128]",0.9833571314811707
164,0.00397298189210816,5,32,adam,1,[32],0.9834285974502563
165,0.0034479644113218685,7,32,rmsprop,1,[32],0.9828571677207947
166,0.0009997851827554629,3,128,adam,1,[16],0.9767143130302429
167,0.002409332091752527,7,32,sgd,1,[16],0.9484285712242126
168,0.008456285609666632,7,64,rmsprop,1,[256],0.9825714230537415
169,0.00010014315291987145,5,128,rmsprop,1,[128],0.9720714092254639
170,0.002409332091752527,7,128,rmsprop,1,[128],0.9866428375244141
171,0.0018589706704654895,7,32,adam,3,"[128, 16, 32]",0.9838571548461914
172,0.0026820286712649598,7,32,rmsprop,1,[16],0.9823571443557739
173,0.038075447206066884,7,64,rmsprop,2,"[256, 32]",0.11428571492433548
174,0.002409332091752527,7,32,sgd,1,[16],0.9494285583496094
175,0.012314457119516165,5,32,adam,1,[32],0.973642885684967
176,0.012314457119516165,7,128,adam,1,[32],0.9821428656578064
177,0.0009997851827554629,5,32,rmsprop,1,[16],0.9800000190734863
178,0.00010014315291987145,5,64,rmsprop,1,[16],0.9627143144607544
179,0.00015222191107660036,5,64,rmsprop,1,[128],0.9807857275009155
180,0.007469506980462902,5,128,adam,2,"[32, 256]",0.9818571209907532
181,0.00010014315291987145,5,64,rmsprop,1,[64],0.9712142944335938
182,0.0005895832603472524,3,64,rmsprop,1,[16],0.9783571362495422
183,0.007469506980462902,5,128,adam,3,"[16, 256, 16]",0.9777143001556396
184,0.00886919859357738,3,32,adam,3,"[128, 16, 32]",0.9796428680419922
185,0.0012119582468149495,7,128,adam,3,"[16, 32, 16]",0.9789999723434448
186,0.009501167805541161,5,128,adam,3,"[128, 32, 16]",0.9837142825126648
187,0.007469506980462902,3,64,sgd,1,[256],0.9601428508758545
188,0.002409332091752527,7,32,adam,3,"[32, 256, 64]",0.9834285974502563
189,0.00021528480953884367,7,128,rmsprop,1,[16],0.9709285497665405
190,0.00886919859357738,5,128,sgd,3,"[128, 128, 32]",0.9541428685188293
191,0.002409332091752527,7,32,adam,3,"[32, 16, 16]",0.9815000295639038
192,0.009501167805541161,3,32,rmsprop,1,[16],0.9727857112884521
193,0.012082639864916414,3,64,adam,3,"[64, 32, 16]",0.9760000109672546
194,0.00397298189210816,7,32,rmsprop,1,[16],0.9803571701049805
195,0.012082639864916414,3,64,rmsprop,3,"[32, 16, 128]",0.9637143015861511
196,0.002409332091752527,7,32,adam,2,"[256, 256]",0.9832857251167297
197,0.00021528480953884367,7,32,adam,3,"[16, 64, 16]",0.9742857217788696
198,0.00397298189210816,3,64,rmsprop,2,"[128, 32]",0.9850000143051147
199,0.00015222191107660036,5,32,sgd,1,[128],0.8497856855392456
200,0.028194001596289795,3,64,sgd,1,[32],0.9624285697937012
201,0.0034479644113218685,7,32,rmsprop,1,[16],0.9828571677207947
202,0.012314457119516165,3,128,adam,1,[16],0.9717142581939697
203,0.0009997851827554629,7,128,sgd,1,[32],0.8741428852081299
204,0.00886919859357738,3,128,adam,1,[32],0.9812142848968506
205,0.012314457119516165,7,32,adam,3,"[128, 16, 32]",0.9769285917282104
