,learning_rate,kernel_size,batch_size,optimizer,n_hidden_layers,neurons,fitness
0,0.0002621885885298688,5,32,sgd,1,[64],0.8897143006324768
1,0.0004558747329471142,3,128,rmsprop,3,"[16, 256, 128]",0.9795714020729065
2,0.0012189596536477385,3,64,adam,2,"[32, 64]",0.9772857427597046
3,0.003334609812582638,3,128,adam,3,"[16, 128, 64]",0.9804285764694214
4,0.005858643226824369,7,32,sgd,1,[32],0.9715714454650879
5,0.0090455438228971,3,32,rmsprop,2,"[64, 64]",0.9707857370376587
6,0.0090455438228971,7,32,sgd,2,"[256, 16]",0.9789999723434448
7,0.0014265990649259875,7,64,rmsprop,1,[32],0.9872857332229614
8,0.052030744359142435,5,32,sgd,2,"[16, 64]",0.978857159614563
9,0.0002927106333661323,5,32,rmsprop,1,[128],0.9847142696380615
10,0.003334609812582638,5,128,rmsprop,1,[32],0.9829999804496765
11,0.00017391394065237868,5,32,adam,3,"[256, 256, 32]",0.9833571314811707
12,0.0003720717743188168,5,32,sgd,2,"[128, 256]",0.899571418762207
13,0.0002927106333661323,5,32,adam,1,[64],0.9835714101791382
14,0.00017391394065237868,3,32,rmsprop,1,[16],0.9654285907745361
15,0.0024427791540672385,3,64,rmsprop,1,[32],0.982785701751709
16,0.000938573247104902,3,64,adam,1,[16],0.9790714383125305
17,0.0024427791540672385,3,32,adam,2,"[32, 16]",0.9794999957084656
18,0.0012898609692450376,3,32,rmsprop,1,[64],0.9851428866386414
19,0.00047216306472799727,5,32,adam,3,"[16, 256, 32]",0.9797142744064331
20,0.009483054544689071,5,64,adam,2,"[16, 64]",0.9789285659790039
21,0.010213578338710578,5,32,adam,2,"[16, 16]",0.9692142605781555
22,0.0003949234770631499,7,64,sgd,3,"[64, 256, 32]",0.8150714039802551
23,0.0007594520975660203,3,128,rmsprop,2,"[32, 128]",0.9817857146263123
24,0.002353280616957451,3,32,sgd,1,[64],0.9409999847412109
25,0.0004558747329471142,5,32,adam,1,[32],0.9831428527832031
26,0.005464379739917534,7,64,rmsprop,1,[128],0.9804285764694214
27,0.008284768840933803,3,128,rmsprop,2,"[64, 16]",0.9807857275009155
28,0.0002621885885298688,3,128,rmsprop,2,"[256, 16]",0.9783571362495422
29,0.0014265990649259875,7,64,rmsprop,3,"[16, 256, 128]",0.9856428503990173
30,0.0013706272341494313,5,64,adam,2,"[32, 128]",0.983214259147644
31,0.0002927106333661323,5,32,sgd,2,"[128, 256]",0.8852857351303101
32,0.0007594520975660203,3,64,adam,3,"[16, 256, 16]",0.9764285683631897
33,0.03487250129258369,3,64,sgd,3,"[64, 256, 32]",0.9693571329116821
34,0.0004558747329471142,5,32,adam,3,"[32, 64, 64]",0.9766428470611572
35,0.019838246757564328,3,128,sgd,1,[64],0.9591428637504578
36,0.03830969805288695,3,32,adam,2,"[64, 256]",0.11428571492433548
37,0.004003313776493292,3,128,sgd,3,"[128, 256, 16]",0.9202142953872681
38,0.0007594520975660203,3,64,rmsprop,1,[16],0.9779999852180481
39,0.0024427791540672385,3,64,sgd,3,"[64, 256, 32]",0.9238571524620056
40,0.03487250129258369,7,32,sgd,3,"[128, 16, 256]",0.9825000166893005
41,0.0005279767244599051,7,64,sgd,3,"[128, 256, 16]",0.8647857308387756
42,0.002552527133083425,7,64,sgd,3,"[64, 256, 32]",0.9331428408622742
43,0.0007594520975660203,3,64,sgd,2,"[32, 32]",0.8932142853736877
44,0.00565630452949312,7,128,sgd,1,[32],0.9341428279876709
45,0.010213578338710578,5,32,adam,2,"[256, 64]",0.9750714302062988
46,0.0015976967842322473,3,32,rmsprop,3,"[256, 16, 16]",0.9835714101791382
47,0.009483054544689071,5,64,adam,2,"[64, 32]",0.9800714254379272
48,0.0003720717743188168,5,32,adam,1,[32],0.9825000166893005
49,0.00017064004462372104,3,32,rmsprop,1,[64],0.9777857065200806
50,0.010213578338710578,7,64,sgd,3,"[64, 256, 32]",0.9716428518295288
51,0.0003949234770631499,5,32,adam,2,"[256, 64]",0.9836428761482239
52,0.00017064004462372104,3,32,adam,1,[128],0.9804285764694214
53,0.0003720717743188168,5,32,rmsprop,1,[64],0.9799285531044006
54,0.0012737890871750285,3,32,sgd,1,[128],0.930142879486084
55,0.005464379739917534,7,64,rmsprop,1,[64],0.9863571524620056
56,0.0007594520975660203,3,64,adam,3,"[64, 256, 64]",0.9817857146263123
57,0.0012898609692450376,3,32,sgd,1,[16],0.915142834186554
58,0.0007594520975660203,3,64,sgd,3,"[32, 256, 16]",0.7774285674095154
59,0.0004558747329471142,5,32,adam,1,[16],0.9814285635948181
