,learning_rate,kernel_size,batch_size,optimizer,n_hidden_layers,neurons,fitness
0,0.008284768840933803,3,128,adam,1,[32],0.9794999957084656
1,0.008284768840933803,3,128,adam,1,[32],0.977142870426178
2,0.0002621885885298688,3,128,rmsprop,2,"[32, 32]",0.9726428389549255
3,0.0003949234770631499,7,128,rmsprop,3,"[16, 256, 128]",0.9819285869598389
4,0.005858643226824369,3,32,sgd,2,"[16, 64]",0.9507856965065002
5,0.0002927106333661323,5,32,rmsprop,2,"[64, 64]",0.9831428527832031
6,0.03487250129258369,7,64,sgd,3,"[32, 64, 16]",0.9812142848968506
7,0.005395807354850706,7,32,sgd,3,"[128, 256, 16]",0.9732142686843872
8,0.03680892745189663,5,64,adam,2,"[64, 32]",0.11428571492433548
9,0.03680892745189663,3,64,adam,2,"[64, 256]",0.11428571492433548
10,0.0012898609692450376,3,128,adam,2,"[64, 256]",0.9822142720222473
11,0.004003313776493292,3,32,adam,3,"[16, 256, 32]",0.9752143025398254
12,0.00039346221941783787,5,32,rmsprop,3,"[64, 32, 128]",0.9840714335441589
13,0.0015976967842322473,3,32,sgd,1,[64],0.9349285960197449
14,0.0015377852932824299,7,64,sgd,2,"[128, 256]",0.9257857203483582
15,0.01717777643818045,7,64,rmsprop,3,"[32, 32, 64]",0.9626428484916687
16,0.0012189596536477385,3,128,adam,1,[128],0.9837856888771057
17,0.03830969805288695,3,128,sgd,1,[64],0.9660714268684387
18,0.0014265990649259875,7,64,rmsprop,2,"[64, 16]",0.9865714311599731
19,0.010986269055806375,3,64,rmsprop,2,"[256, 16]",0.9822142720222473
20,0.0007594520975660203,3,128,adam,3,"[256, 256, 32]",0.9824285507202148
21,0.003334609812582638,3,64,sgd,3,"[64, 256, 32]",0.9343571662902832
22,0.00028742054308103396,3,128,rmsprop,1,[256],0.9819999933242798
23,0.00028742054308103396,3,128,rmsprop,1,[256],0.9826428294181824
24,0.0005730550207208743,3,32,adam,3,"[128, 16, 256]",0.9845714569091797
25,0.00042678991349321446,7,32,sgd,2,"[32, 16]",0.8924285769462585
26,0.019838246757564328,5,32,adam,3,"[32, 64, 128]",0.9004999995231628
27,0.041428491811048455,3,128,adam,3,"[32, 64, 256]",0.11428571492433548
28,0.00047216306472799727,5,32,rmsprop,1,[64],0.9836428761482239
29,0.052030744359142435,5,64,rmsprop,3,"[128, 256, 32]",0.9020714163780212
30,0.010160927085434516,3,128,sgd,1,[16],0.9272857308387756
31,0.0005357864512974483,5,64,rmsprop,1,[32],0.9817857146263123
32,0.009483054544689071,5,64,sgd,1,[32],0.963785707950592
33,0.00015199805205200255,7,64,adam,2,"[16, 16]",0.9697856903076172
34,0.0003720717743188168,5,64,rmsprop,1,[16],0.9792143106460571
35,0.0024427791540672385,3,32,adam,1,[64],0.9815000295639038
36,0.0090455438228971,7,32,adam,1,[32],0.9709285497665405
37,0.0016566935211847057,5,32,sgd,1,[32],0.9300714135169983
38,0.0013706272341494313,5,64,adam,2,"[128, 256]",0.9852856993675232
39,0.0013706272341494313,5,64,adam,2,"[128, 256]",0.984928548336029
40,0.00967417492433186,5,64,rmsprop,2,"[16, 16]",0.9745000004768372
41,0.012260091424427822,7,32,sgd,2,"[32, 16]",0.9787856936454773
42,0.00565630452949312,7,128,rmsprop,1,[32],0.9850000143051147
43,0.00017391394065237868,3,32,sgd,2,"[32, 128]",0.4196428656578064
44,0.0016267718697766742,7,128,rmsprop,2,"[64, 32]",0.9848571419715881
45,0.0018099840426043243,7,32,rmsprop,3,"[16, 256, 16]",0.9837856888771057
46,0.010213578338710578,5,32,adam,3,"[256, 16, 16]",0.974142849445343
47,0.002353280616957451,3,32,adam,2,"[16, 64]",0.9738571643829346
48,0.00410112694305336,7,64,adam,3,"[64, 256, 128]",0.9813571572303772
49,0.0012840480221142274,5,128,sgd,2,"[16, 32]",0.8655714392662048
50,0.008284768840933803,3,128,adam,1,[32],0.978857159614563
51,0.008284768840933803,3,128,adam,1,[32],0.9796428680419922
52,0.008284768840933803,3,128,adam,1,[32],0.9801428318023682
53,0.0001,3,128,rmsprop,2,"[32, 16]",0.9455000162124634
54,0.000213765078302752,7,128,rmsprop,2,"[16, 64]",0.9707857370376587
55,0.005858643226824369,3,32,sgd,2,"[256, 256]",0.9681428670883179
56,0.0002927106333661323,5,32,sgd,3,"[32, 64, 16]",0.6753571629524231
57,0.03487250129258369,7,64,sgd,2,"[64, 64]",0.9822142720222473
58,0.005395807354850706,3,128,sgd,2,"[64, 256]",0.9254999756813049
59,0.0012898609692450376,7,32,sgd,2,"[128, 64]",0.9449999928474426
60,0.004003313776493292,3,32,rmsprop,3,"[64, 32, 128]",0.9789999723434448
61,0.00039346221941783787,5,32,adam,3,"[16, 256, 32]",0.9774285554885864
62,0.00041052766572378154,5,32,rmsprop,2,"[256, 32]",0.986214280128479
63,0.0015976967842322473,3,32,sgd,1,[64],0.928928554058075
64,0.0015377852932824299,7,64,sgd,3,"[32, 32, 64]",0.9092857241630554
65,0.01717777643818045,7,64,sgd,2,"[128, 256]",0.9783571362495422
66,0.0012189596536477385,3,128,adam,2,"[64, 256]",0.982785701751709
67,0.03830969805288695,7,128,sgd,1,[128],0.977642834186554
68,0.0014265990649259875,7,64,rmsprop,2,"[256, 16]",0.9877856969833374
69,0.010986269055806375,3,64,rmsprop,2,"[64, 16]",0.9752143025398254
70,0.0007594520975660203,3,128,adam,3,"[256, 256, 32]",0.9834285974502563
71,0.003334609812582638,3,64,sgd,3,"[256, 256, 32]",0.9446428418159485
72,0.00028742054308103396,3,128,rmsprop,1,[256],0.9810000061988831
73,0.00028742054308103396,3,128,rmsprop,1,[16],0.9677857160568237
74,0.0005730550207208743,3,32,sgd,2,"[16, 16]",0.8815714120864868
75,0.00042678991349321446,7,32,adam,3,"[128, 16, 256]",0.9843571186065674
76,0.019838246757564328,5,128,adam,3,"[32, 64, 256]",0.9670000076293945
77,0.041428491811048455,5,32,adam,3,"[32, 64, 128]",0.11428571492433548
78,0.00047216306472799727,5,32,rmsprop,3,"[128, 256, 32]",0.9869285821914673
79,0.052030744359142435,5,128,rmsprop,3,"[16, 256, 128]",0.11428571492433548
80,0.010160927085434516,3,128,rmsprop,1,[32],0.975428581237793
81,0.0005357864512974483,5,64,sgd,3,"[16, 64, 128]",0.675000011920929
82,0.009483054544689071,7,64,adam,2,"[16, 16]",0.979285717010498
83,0.00015199805205200255,5,64,sgd,1,[32],0.6352857351303101
84,0.0003720717743188168,5,64,rmsprop,1,[32],0.9825000166893005
85,0.0024427791540672385,3,32,adam,1,[16],0.9778571724891663
86,0.009840269442156095,7,32,adam,1,[32],0.9701428413391113
87,0.0016566935211847057,5,32,rmsprop,1,[32],0.9842857122421265
88,0.0013706272341494313,5,64,adam,2,"[16, 256]",0.9827142953872681
89,0.0013706272341494313,7,64,adam,2,"[128, 256]",0.9868571162223816
90,0.00967417492433186,5,64,rmsprop,2,"[32, 16]",0.9794999957084656
91,0.012260091424427822,7,32,sgd,2,"[16, 16]",0.9790714383125305
92,0.00565630452949312,7,128,rmsprop,1,[32],0.9850000143051147
93,0.00565630452949312,7,128,rmsprop,1,[64],0.9857142567634583
94,0.0016267718697766742,7,32,rmsprop,3,"[16, 256, 16]",0.9825000166893005
95,0.0018099840426043243,7,128,rmsprop,2,"[64, 32]",0.9847857356071472
96,0.010213578338710578,5,32,adam,2,"[16, 64]",0.9715714454650879
97,0.004105743128106961,3,32,adam,3,"[256, 16, 16]",0.9803571701049805
98,0.00410112694305336,7,64,adam,3,"[128, 32, 16]",0.9852856993675232
99,0.0012840480221142274,5,128,sgd,2,"[64, 256]",0.8723571300506592
100,0.008284768840933803,3,128,adam,1,[32],0.9772142767906189
101,0.01318438310130862,3,128,adam,1,[32],0.9757142663002014
102,0.008284768840933803,3,128,adam,2,"[32, 16]",0.975857138633728
103,0.0001,3,128,rmsprop,1,[16],0.9399285912513733
104,0.00037045269341106534,7,128,rmsprop,2,"[256, 256]",0.986214280128479
105,0.005858643226824369,3,32,sgd,2,"[16, 64]",0.9434999823570251
106,0.0002927106333661323,5,32,sgd,2,"[64, 64]",0.8937143087387085
107,0.03487250129258369,7,64,sgd,3,"[32, 64, 16]",0.9815714359283447
108,0.014492413829099318,3,128,sgd,2,"[128, 64]",0.9558571577072144
109,0.00302277351176437,7,32,sgd,2,"[256, 256]",0.9667142629623413
110,0.004003313776493292,3,32,rmsprop,3,"[16, 256, 32]",0.9733571410179138
111,0.00039346221941783787,3,32,adam,3,"[64, 32, 128]",0.9767857193946838
112,0.00041052766572378154,3,32,sgd,1,[64],0.8966428637504578
113,0.0015976967842322473,5,32,rmsprop,2,"[256, 32]",0.984928548336029
114,0.0015377852932824299,7,64,sgd,2,"[128, 256]",0.928857147693634
115,0.01717777643818045,7,64,sgd,3,"[32, 64, 64]",0.9795714020729065
116,0.0012189596536477385,3,128,adam,2,"[128, 128]",0.9843571186065674
117,0.03830969805288695,7,128,sgd,1,[64],0.9800000190734863
118,0.03830969805288695,7,64,rmsprop,2,"[256, 16]",0.11428571492433548
119,0.0014265990649259875,7,128,sgd,1,[128],0.9017857313156128
120,0.010986269055806375,3,128,adam,3,"[128, 256, 32]",0.9775000214576721
121,0.0007594520975660203,3,64,rmsprop,2,"[64, 16]",0.9845714569091797
122,0.003334609812582638,5,64,rmsprop,1,[256],0.9872857332229614
123,0.000263184490158124,5,128,sgd,3,"[256, 256, 32]",0.33657142519950867
124,0.00028742054308103396,3,32,sgd,2,"[16, 16]",0.8205714225769043
125,0.0005730550207208743,3,128,rmsprop,1,[16],0.9704999923706055
126,0.00042678991349321446,7,32,adam,3,"[32, 64, 256]",0.9831428527832031
127,0.026815744706487718,5,128,adam,3,"[128, 16, 256]",0.11428571492433548
128,0.0006881832803845104,5,32,rmsprop,3,"[32, 32, 256]",0.9835000038146973
129,0.010160927085434516,3,128,rmsprop,1,[128],0.9819999933242798
130,0.0005357864512974483,5,64,sgd,3,"[16, 16, 16]",0.46064284443855286
131,0.009483054544689071,7,32,adam,2,"[16, 64]",0.9727857112884521
132,0.00015199805205200255,5,64,rmsprop,1,[32],0.9737856984138489
133,0.0003720717743188168,5,64,adam,1,[32],0.9825714230537415
134,0.0024427791540672385,3,32,adam,1,[32],0.9800714254379272
135,0.009840269442156095,7,32,adam,1,[16],0.9714285731315613
136,0.0016566935211847057,5,32,adam,2,"[16, 256]",0.9779285788536072
137,0.00131072025986841,5,64,rmsprop,1,[32],0.9825000166893005
138,0.0013706272341494313,5,64,rmsprop,2,"[32, 16]",0.9835000038146973
139,0.00967417492433186,7,32,adam,2,"[128, 32]",0.9821428656578064
140,0.012260091424427822,7,128,rmsprop,1,[32],0.9772857427597046
141,0.00565630452949312,7,32,sgd,2,"[16, 32]",0.9695714116096497
142,0.00565630452949312,7,128,rmsprop,1,[64],0.9847857356071472
143,0.00470281968214954,7,128,rmsprop,1,[64],0.9841428399085999
144,0.0016267718697766742,7,128,rmsprop,2,"[32, 256]",0.9822142720222473
145,0.0018099840426043243,7,64,rmsprop,3,"[16, 256, 128]",0.9833571314811707
146,0.010213578338710578,3,32,sgd,3,"[256, 16, 16]",0.970714271068573
147,0.004105743128106961,5,128,adam,2,"[16, 64]",0.9807142615318298
148,0.00410112694305336,7,64,sgd,1,[16],0.9421428442001343
149,0.0012840480221142274,5,128,sgd,3,"[32, 32, 16]",0.8262143135070801
150,0.008284768840933803,3,128,adam,1,[32],0.9786428809165955
151,0.008284768840933803,3,128,adam,1,[32],0.9784285426139832
152,0.01318438310130862,7,128,adam,2,"[32, 16]",0.9775000214576721
153,0.008284768840933803,3,128,adam,1,[32],0.9784285426139832
154,0.0001,3,128,rmsprop,3,"[128, 64, 256]",0.9674285650253296
155,0.00037045269341106534,7,128,rmsprop,1,[16],0.977142870426178
156,0.005858643226824369,5,32,sgd,2,"[32, 64]",0.9700000286102295
157,0.0002927106333661323,3,32,sgd,2,"[16, 64]",0.8267857432365417
158,0.03487250129258369,3,128,sgd,2,"[128, 64]",0.9687857031822205
159,0.014492413829099318,3,64,sgd,3,"[32, 64, 16]",0.9647142887115479
160,0.00302277351176437,7,32,sgd,3,"[16, 256, 32]",0.9568571448326111
161,0.004003313776493292,3,32,rmsprop,2,"[256, 256]",0.9841428399085999
162,0.00039346221941783787,3,32,sgd,1,[64],0.8999285697937012
163,0.00041052766572378154,3,32,adam,3,"[64, 32, 128]",0.9795714020729065
164,0.004741045164864908,5,32,rmsprop,2,"[128, 256]",0.9748571515083313
165,0.0015377852932824299,7,64,sgd,2,"[16, 32]",0.9102143049240112
166,0.01717777643818045,7,64,adam,2,"[128, 128]",0.11428571492433548
167,0.0012189596536477385,3,128,sgd,3,"[32, 64, 64]",0.7540000081062317
168,0.03830969805288695,7,128,sgd,1,[64],0.9744285941123962
169,0.03830969805288695,3,128,sgd,1,[64],0.9656428694725037
170,0.0014265990649259875,7,128,sgd,1,[128],0.9062142968177795
171,0.010986269055806375,3,128,sgd,3,"[128, 128, 256]",0.9493571519851685
172,0.0007594520975660203,3,64,rmsprop,1,[256],0.9854999780654907
173,0.003334609812582638,5,64,rmsprop,2,"[64, 64]",0.9834285974502563
174,0.00028742054308103396,3,32,sgd,1,[16],0.8333571553230286
175,0.0005730550207208743,3,128,rmsprop,2,"[16, 16]",0.9652857184410095
176,0.00042678991349321446,5,32,rmsprop,3,"[128, 32, 256]",0.9841428399085999
177,0.0006881832803845104,7,32,adam,3,"[32, 64, 256]",0.9822142720222473
178,0.000793452590286694,5,32,rmsprop,1,[128],0.985785722732544
179,0.010160927085434516,3,128,rmsprop,2,"[64, 256]",0.9742143154144287
180,0.009483054544689071,7,32,rmsprop,1,[64],0.9825000166893005
181,0.00015199805205200255,5,64,adam,2,"[16, 64]",0.9721428751945496
182,0.0003720717743188168,5,64,adam,1,[32],0.9817857146263123
183,0.0024427791540672385,3,32,adam,1,[32],0.9806428551673889
184,0.009840269442156095,7,32,adam,1,[16],0.9729999899864197
185,0.009840269442156095,7,32,adam,2,"[32, 256]",0.9800714254379272
186,0.0016566935211847057,5,128,adam,2,"[128, 32]",0.9836428761482239
187,0.00131072025986841,5,64,rmsprop,1,[16],0.9830714464187622
188,0.0013706272341494313,7,32,adam,2,"[128, 32]",0.9804999828338623
189,0.00967417492433186,5,64,rmsprop,2,"[32, 16]",0.9732142686843872
190,0.012260091424427822,7,128,sgd,2,"[16, 32]",0.9503571391105652
191,0.00565630452949312,7,32,rmsprop,1,[32],0.9830714464187622
192,0.00565630452949312,7,128,rmsprop,1,[64],0.9852142930030823
193,0.00470281968214954,7,128,adam,1,[64],0.9851428866386414
194,0.0016267718697766742,7,64,rmsprop,3,"[16, 256, 128]",0.9828571677207947
195,0.0018099840426043243,7,128,adam,2,"[32, 256]",0.9854999780654907
196,0.011469130388011228,3,128,adam,2,"[16, 64]",0.9691428542137146
197,0.004105743128106961,5,32,sgd,3,"[32, 256, 16]",0.9545000195503235
198,0.004105743128106961,5,64,adam,1,[16],0.9795714020729065
199,0.00410112694305336,7,128,adam,2,"[16, 64]",0.9824285507202148
200,0.008284768840933803,3,128,adam,1,[32],0.9813571572303772
201,0.008284768840933803,3,128,adam,2,"[64, 256]",0.9806428551673889
202,0.01318438310130862,7,128,adam,1,[16],0.9790714383125305
203,0.008284768840933803,3,128,adam,2,"[32, 16]",0.9786428809165955
204,0.0001,3,128,rmsprop,1,[16],0.9419999718666077
205,0.00037045269341106534,7,128,rmsprop,3,"[128, 64, 256]",0.984928548336029
206,0.005858643226824369,5,32,sgd,2,"[16, 64]",0.9662142992019653
207,0.0002927106333661323,3,32,sgd,2,"[32, 64]",0.8652856945991516
208,0.03487250129258369,3,128,sgd,2,"[32, 64]",0.9572857022285461
209,0.014492413829099318,3,64,sgd,3,"[128, 64, 16]",0.9664999842643738
210,0.00302277351176437,7,32,sgd,2,"[64, 16]",0.9625714421272278
211,0.004003313776493292,3,32,rmsprop,2,"[16, 256]",0.9727857112884521
212,0.00039346221941783787,5,64,adam,3,"[64, 32, 128]",0.9813571572303772
213,0.00041052766572378154,3,32,sgd,1,[256],0.9023571610450745
214,0.004741045164864908,5,64,sgd,2,"[16, 32]",0.9373571276664734
215,0.0005124258503763059,7,32,rmsprop,2,"[128, 256]",0.9886428713798523
216,0.01717777643818045,7,64,sgd,3,"[128, 256, 16]",0.9742143154144287
217,0.03830969805288695,7,128,adam,2,"[128, 128]",0.11428571492433548
218,0.03830969805288695,3,128,sgd,1,[128],0.9671428799629211
219,0.0014265990649259875,7,128,sgd,1,[64],0.9024285674095154
220,0.010986269055806375,3,64,rmsprop,1,[256],0.9827142953872681
221,0.0007594520975660203,3,128,sgd,2,"[128, 256]",0.8318571448326111
222,0.003334609812582638,5,64,sgd,1,[16],0.9235714077949524
223,0.00028742054308103396,3,32,rmsprop,2,"[128, 256]",0.9865000247955322
224,0.0005730550207208743,3,128,adam,2,"[32, 128]",0.9800000190734863
225,0.00042678991349321446,5,32,rmsprop,3,"[16, 16, 32]",0.9739999771118164
226,0.0006881832803845104,7,32,rmsprop,1,[128],0.9877856969833374
227,0.000793452590286694,5,32,adam,3,"[32, 64, 256]",0.9807857275009155
228,0.010160927085434516,3,128,rmsprop,2,"[128, 256]",0.9817857146263123
229,0.010160927085434516,3,128,sgd,2,"[256, 256]",0.9517857432365417
230,0.009483054544689071,7,32,rmsprop,1,[16],0.9796428680419922
231,0.00015199805205200255,5,64,adam,2,"[64, 128]",0.9792143106460571
232,0.0003720717743188168,5,64,adam,1,[32],0.9812856912612915
233,0.0008350413129632534,3,32,adam,1,[32],0.9791428446769714
234,0.004405920299242687,7,32,rmsprop,2,"[32, 256]",0.9815714359283447
235,0.009840269442156095,7,32,rmsprop,1,[16],0.9750000238418579
236,0.0016566935211847057,5,64,rmsprop,1,[16],0.9800714254379272
237,0.00131072025986841,5,128,adam,2,"[128, 128]",0.9834285974502563
