,learning_rate,kernel_size,batch_size,optimizer,n_hidden_layers,neurons,fitness
0,0.0002621885885298688,5,128,sgd,1,[16],0.39800000190734863
1,0.00038231496190340705,5,32,sgd,3,"[16, 256, 128]",0.8133571147918701
2,0.01717777643818045,7,64,sgd,3,"[64, 256, 32]",0.9770714044570923
3,0.01717777643818045,3,64,sgd,3,"[128, 256, 64]",0.9677857160568237
4,0.0090455438228971,3,32,sgd,2,"[64, 64]",0.966785728931427
5,0.010993188859322179,7,32,sgd,1,[64],0.9789999723434448
6,0.0090455438228971,7,32,rmsprop,2,"[32, 256]",0.9701428413391113
7,0.0014265990649259875,7,64,sgd,1,[256],0.9268571138381958
8,0.00010509269202729433,5,32,sgd,1,[16],0.5230714082717896
9,0.00010509269202729433,5,128,sgd,1,[16],0.2077142894268036
10,0.00017391394065237868,3,32,adam,1,[32],0.9729999899864197
11,0.00017391394065237868,3,32,rmsprop,3,"[32, 16, 32]",0.9687857031822205
12,0.0002927106333661323,7,32,sgd,1,[16],0.8761428594589233
13,0.00015199805205200255,5,32,sgd,1,[32],0.8347856998443604
14,0.0003720717743188168,3,32,rmsprop,1,[32],0.9784285426139832
15,0.0003743049453266133,5,32,rmsprop,3,"[128, 128, 16]",0.9853571653366089
16,0.0024427791540672385,3,32,rmsprop,1,[16],0.9800714254379272
17,0.000938573247104902,3,32,rmsprop,1,[128],0.9835000038146973
18,0.0014124137905158769,3,128,adam,3,"[16, 256, 32]",0.9789999723434448
19,0.0012898609692450376,3,128,adam,3,"[32, 256, 32]",0.9797857403755188
20,0.0005357864512974483,7,32,adam,2,"[16, 64]",0.9775000214576721
21,0.010213578338710578,5,32,rmsprop,1,[32],0.9704999923706055
22,0.010986269055806375,7,128,rmsprop,2,"[64, 16]",0.9801428318023682
23,0.0003949234770631499,7,64,rmsprop,2,"[32, 128]",0.9851428866386414
24,0.002353280616957451,5,32,adam,1,[64],0.9828571677207947
25,0.002353280616957451,3,32,sgd,3,"[64, 128, 128]",0.9433571696281433
26,0.005464379739917534,3,32,rmsprop,2,"[16, 16]",0.9734285473823547
27,0.008284768840933803,7,32,sgd,1,[32],0.9742857217788696
28,0.0002621885885298688,7,128,sgd,3,"[16, 32, 128]",0.22528570890426636
